samples,acc,prec,rec,fpr,ngrams
262270,0.967,0.9972067039106145,0.9583892617449664,0.00784313725490196,1.0
263270,0.968,0.9972714870395635,0.9605781865965834,0.008368200836820083,1.0
264270,0.967,0.9907407407407407,0.9596412556053812,0.01812688821752266,1.0
265270,0.975,0.9911894273127754,0.9726224783861671,0.0196078431372549,1.0
266270,0.951,0.9898550724637681,0.9420689655172414,0.025454545454545455,1.0
267270,0.9635258358662614,0.9925149700598802,0.9553314121037464,0.017064846416382253,1.0
0,1.0,0.0,0.0,0.0,2.0
10,0.55,0.0,0.0,0.0,2.0
30,0.85,1.0,0.6470588235294118,0.0,2.0
70,0.8,1.0,0.5294117647058824,0.0,2.0
150,0.85,1.0,0.5636363636363636,0.0,2.0
310,0.88125,1.0,0.6724137931034483,0.0,2.0
630,0.9203125,1.0,0.7671232876712328,0.0,2.0
1270,0.915,1.0,0.7690217391304348,0.0,2.0
2270,0.946,1.0,0.8448275862068966,0.0,2.0
3270,0.951,1.0,0.8579710144927536,0.0,2.0
4270,0.958,1.0,0.8796561604584527,0.0,2.0
5270,0.972,1.0,0.9195402298850575,0.0,2.0
6270,0.973,1.0,0.9245810055865922,0.0,2.0
7270,0.977,0.9971098265895953,0.9400544959128065,0.001579778830963665,2.0
8270,0.974,1.0,0.9248554913294798,0.0,2.0
9270,0.975,1.0,0.9297752808988764,0.0,2.0
10270,0.745,0.9955947136563876,0.4708333333333333,0.0019230769230769232,2.0
11270,0.64,0.9965986394557823,0.4493865030674847,0.0028735632183908046,2.0
12270,0.716,0.9971910112359551,0.5564263322884012,0.0027624309392265192,2.0
13270,0.766,0.9923469387755102,0.6274193548387097,0.007894736842105263,2.0
14270,0.797,0.9953810623556582,0.6819620253164557,0.005434782608695652,2.0
15270,0.808,0.9935760171306209,0.7105666156202144,0.008645533141210375,2.0
16270,0.831,0.9979253112033195,0.7411402157164869,0.002849002849002849,2.0
17270,0.863,1.0,0.7852664576802508,0.0,2.0
18270,0.87,0.9960079840319361,0.79585326953748,0.005361930294906166,2.0
19270,0.893,0.9980430528375733,0.827922077922078,0.0026041666666666665,2.0
20270,0.888,0.9925233644859813,0.8309859154929577,0.0110803324099723,2.0
21270,0.899,0.9963963963963964,0.848159509202454,0.005747126436781609,2.0
22270,0.913,0.9982142857142857,0.8666666666666667,0.0028169014084507044,2.0
23270,0.916,0.9962335216572504,0.8657937806873978,0.005141388174807198,2.0
24270,0.927,0.9982046678635548,0.8853503184713376,0.002688172043010753,2.0
25270,0.933,0.9965156794425087,0.8979591836734694,0.005509641873278237,2.0
26270,0.924,0.9948630136986302,0.8883792048929664,0.008670520231213872,2.0
27270,0.947,0.9945945945945946,0.9169435215946844,0.007537688442211055,2.0
28270,0.948,0.9964601769911504,0.9184339314845025,0.00516795865633075,2.0
29270,0.949,1.0,0.9204368174726989,0.0,2.0
30270,0.946,0.9933993399339934,0.9233128834355828,0.011494252873563218,2.0
31270,0.952,0.9967159277504105,0.9295558958652373,0.005763688760806916,2.0
32270,0.935,0.9930313588850174,0.9033280507131537,0.01084010840108401,2.0
33270,0.943,0.9963833634719711,0.9092409240924092,0.005076142131979695,2.0
34270,0.95,0.996661101836394,0.9255813953488372,0.005633802816901409,2.0
35270,0.944,0.9982332155477032,0.9112903225806451,0.002631578947368421,2.0
36270,0.94,0.9916387959866221,0.9151234567901234,0.014204545454545454,2.0
37270,0.959,0.9950657894736842,0.9409020217729394,0.008403361344537815,2.0
38270,0.941,0.9965928449744463,0.9112149532710281,0.00558659217877095,2.0
39270,0.948,0.9947735191637631,0.9209677419354839,0.007894736842105263,2.0
40270,0.964,0.9933444259567388,0.9491255961844197,0.01078167115902965,2.0
41270,0.96,0.9949748743718593,0.9413629160063391,0.008130081300813009,2.0
42270,0.963,0.998272884283247,0.9413680781758957,0.0025906735751295338,2.0
43270,0.96,1.0,0.9380804953560371,0.0,2.0
44270,0.956,0.9932088285229203,0.936,0.010666666666666666,2.0
45270,0.966,0.9966159052453468,0.9484702093397746,0.005277044854881266,2.0
46270,0.957,0.9902755267423015,0.9429012345679012,0.017045454545454544,2.0
47270,0.962,0.9983443708609272,0.9421875,0.002777777777777778,2.0
48270,0.963,0.988255033557047,0.9515347334410339,0.01837270341207349,2.0
49270,0.962,0.9967105263157895,0.9439252336448598,0.00558659217877095,2.0
50270,0.962,0.9883333333333333,0.9503205128205128,0.018617021276595744,2.0
51270,0.952,0.9982668977469671,0.9245585874799358,0.002652519893899204,2.0
52270,0.957,0.9951768488745981,0.9393019726858877,0.008797653958944282,2.0
53270,0.952,0.9896729776247849,0.9319286871961102,0.015665796344647518,2.0
54270,0.956,0.9900166389351082,0.9399684044233807,0.01634877384196185,2.0
55270,0.965,0.9937694704049844,0.953662182361734,0.012084592145015106,2.0
56270,0.964,0.9932885906040269,0.9487179487179487,0.010638297872340425,2.0
57270,0.963,0.9933333333333333,0.9475357710651828,0.01078167115902965,2.0
58270,0.963,0.9949324324324325,0.9454253611556982,0.007957559681697613,2.0
59270,0.967,0.9951768488745981,0.9537750385208013,0.008547008547008548,2.0
60270,0.96,0.9882154882154882,0.9467741935483871,0.018421052631578946,2.0
61270,0.959,0.9949066213921901,0.9391025641025641,0.007978723404255319,2.0
62270,0.898,0.9900826446280991,0.8618705035971223,0.019672131147540985,2.0
63270,0.868,0.9874476987447699,0.851985559566787,0.05325443786982249,2.0
64270,0.857,0.9985974754558204,0.8337236533957846,0.00684931506849315,2.0
65270,0.901,0.9945280437756497,0.8844282238442822,0.02247191011235955,2.0
66270,0.94,0.9860529986052998,0.9339498018494056,0.0411522633744856,2.0
