samples,acc,prec,rec,threshold
152270,0.938,0.9919168591224018,0.9398249452954048,0.5
153270,0.952,0.9824150058616647,0.9621125143513203,0.5
154270,0.922,0.9758576874205845,0.9286577992744861,0.5
155270,0.896,0.9440860215053763,0.8491295938104448,0.5
156270,0.883,0.9640151515151515,0.8385502471169687,0.5
157270,0.938,0.9787581699346405,0.9243827160493827,0.5
158270,0.939,0.9881956155143339,0.915625,0.5
159270,0.932,0.9791332263242376,0.9172932330827067,0.5
160270,0.955,0.9903691813804173,0.9405487804878049,0.5
161270,0.956,0.9888535031847133,0.9437689969604863,0.5
162270,0.948,0.9685534591194969,0.9506172839506173,0.5
163270,0.959,0.9921630094043887,0.9461883408071748,0.5
164270,0.961,0.9936708860759493,0.947209653092006,0.5
165270,0.958,0.9868421052631579,0.9463722397476341,0.5
166270,0.962,0.9817351598173516,0.9612518628912071,0.5
167270,0.959,0.9789303079416531,0.9556962025316456,0.5
168270,0.953,0.967741935483871,0.9603658536585366,0.5
169270,0.961,0.9815950920245399,0.95952023988006,0.5
170270,0.972,0.9904458598726115,0.9658385093167702,0.5
171270,0.969,0.9848024316109423,0.968609865470852,0.5
172270,0.959,0.9752321981424149,0.9618320610687023,0.5
173270,0.959,0.9813084112149533,0.9559939301972686,0.5
174270,0.951,0.9780564263322884,0.9468892261001517,0.5
175270,0.969,0.9922839506172839,0.9611360239162929,0.5
176270,0.965,0.9921011058451816,0.9544072948328267,0.5
177270,0.959,0.9786585365853658,0.9596412556053812,0.5
178270,0.951,0.9724349157733537,0.9534534534534534,0.5
179270,0.917,0.973463687150838,0.9159001314060446,0.5
180270,0.971,0.9874411302982732,0.9676923076923077,0.5
181270,0.963,0.9953846153846154,0.9500734214390602,0.5
182270,0.96,0.9937402190923318,0.9463487332339792,0.5
183270,0.974,0.9969558599695586,0.9646539027982327,0.5
184270,0.955,0.9951534733441034,0.9361702127659575,0.5
185270,0.961,0.9965576592082617,0.939935064935065,0.5
186270,0.974,0.995334370139969,0.9653092006033183,0.5
187270,0.962,0.9921383647798742,0.9503012048192772,0.5
188270,0.952,0.9692780337941628,0.9575113808801214,0.5
189270,0.961,0.9841269841269841,0.9553158705701078,0.5
190270,0.952,0.9723435225618632,0.9583931133428981,0.5
191270,0.942,0.9652677279305355,0.9514978601997147,0.5
192270,0.859,0.9894736842105263,0.8308080808080808,0.5
193270,0.759,0.9902152641878669,0.6819407008086253,0.5
194270,0.842,0.9981884057971014,0.7782485875706214,0.5
195270,0.817,0.9896694214876033,0.7290715372907154,0.5
196270,0.849,0.9963833634719711,0.7871428571428571,0.5
197270,0.867,0.995260663507109,0.8289473684210527,0.5
198270,0.996,0.9989868287740629,0.9969666329625885,0.5
199270,0.998,1.0,0.9979859013091642,0.5
200270,0.926,0.9974779319041615,0.9165701042873696,0.5
201270,0.795,1.0,0.7518159806295399,0.5
202270,0.874,1.0,0.8212765957446808,0.5
203270,0.884,0.9966329966329966,0.8385269121813032,0.5
204270,0.88,0.9903691813804173,0.8440492476060192,0.5
205270,0.916,0.9948096885813149,0.8765243902439024,0.5
206270,0.887,0.9892857142857143,0.8381240544629349,0.5
207270,0.91,0.9963031423290203,0.8596491228070176,0.5
208270,0.85,0.9984871406959153,0.8158220024721878,0.5
209270,0.893,0.9969788519637462,0.8627450980392157,0.5
210270,0.883,0.9948805460750854,0.836441893830703,0.5
211270,0.886,0.9983471074380166,0.8423988842398884,0.5
212270,0.917,0.9984126984126984,0.8846694796061885,0.5
213270,0.913,0.9984101748807631,0.8795518207282913,0.5
214270,0.9,0.9956268221574344,0.8756410256410256,0.5
215270,0.795,0.9895615866388309,0.7032640949554896,0.5
216270,0.835,1.0,0.7934918648310388,0.5
217270,0.903,1.0,0.8637640449438202,0.5
218270,0.915,0.9906890130353817,0.869281045751634,0.5
219270,0.926,0.9961977186311787,0.8791946308724832,0.5
220270,0.918,0.9963833634719711,0.873217115689382,0.5
221270,0.923,0.9947089947089947,0.8840125391849529,0.5
222270,0.893,1.0,0.8565683646112601,0.5
223270,0.912,0.9946043165467626,0.8667711598746082,0.5
224270,0.868,0.987603305785124,0.7913907284768212,0.5
225270,0.865,0.9898580121703854,0.7896440129449838,0.5
226270,0.945,0.9910071942446043,0.9168053244592346,0.5
227270,0.903,0.9985096870342772,0.8746736292428199,0.5
228270,0.906,0.9955947136563876,0.8308823529411765,0.5
229270,0.952,0.9935760171306209,0.9115913555992141,0.5
