samples,acc,prec,rec
49270,0.993,0.9937791601866252,0.9953271028037384
50270,0.991,0.9888712241653418,0.9967948717948718
51270,0.996,0.998389694041868,0.9951845906902087
52270,0.993,0.9954407294832827,0.9939301972685888
53270,0.992,0.9983633387888707,0.9886547811993517
54270,0.99,0.9905511811023622,0.9936808846761453
55270,0.993,0.996996996996997,0.992526158445441
56270,0.993,0.9936,0.9951923076923077
57270,0.995,0.9952380952380953,0.9968203497615262
58270,0.993,0.9967741935483871,0.9919743178170144
59270,0.996,0.9984544049459042,0.9953775038520801
60270,0.995,0.9951690821256038,0.9967741935483871
61270,0.999,1.0,0.9983974358974359
62270,0.979,0.9926900584795322,0.9769784172661871
63270,0.985,0.9880382775119617,0.9939831528279182
64270,0.994,0.9964871194379391,0.9964871194379391
65270,0.978,0.9926108374384236,0.9805352798053528
66270,0.993,0.9908376963350786,1.0
67270,0.976,0.9817945383615084,0.9869281045751634
68270,0.99,0.9901112484548825,0.9975093399750934
69270,0.979,0.9780821917808219,0.9930458970792768
70270,0.988,0.9912935323383084,0.9937655860349127
71270,0.981,0.980246913580247,0.9962358845671268
72270,0.977,0.9794419970631424,0.9866863905325444
73270,0.973,0.9747191011235955,0.9871977240398293
74270,0.97,0.9644381223328592,0.9926793557833089
75270,0.975,0.9712041884816754,0.9959731543624161
76270,0.965,0.9562764456981664,0.9941348973607038
77270,0.939,0.9148936170212766,0.9917627677100495
78270,0.962,0.9615384615384616,0.9839650145772595
79270,0.961,0.9456342668863262,0.9896551724137931
80270,0.972,0.9583333333333334,0.9928057553956835
81270,0.972,0.9536679536679536,0.9919678714859438
82270,0.97,0.9525483304042179,0.9944954128440368
83270,0.963,0.9436936936936937,0.9721577726218097
84270,0.974,0.9510763209393346,0.997946611909651
85270,0.968,0.9464720194647201,0.974937343358396
86270,0.978,0.9584352078239609,0.9874055415617129
87270,0.96,0.9078341013824884,0.9078341013824884
88270,0.928,0.3780487804878049,0.5961538461538461
89270,0.937,0.7150537634408602,0.9300699300699301
90270,0.958,0.8070175438596491,0.9387755102040817
91270,0.96,0.8511627906976744,0.9581151832460733
92270,0.96,0.8148148148148148,0.9295774647887324
93270,0.954,0.8458333333333333,0.9575471698113207
94270,0.968,0.9414634146341463,0.9796954314720813
95270,0.971,0.8700564971751412,0.9625
96270,0.968,0.9411764705882353,0.9761273209549072
97270,0.952,0.9441441441441442,0.9685767097966729
98270,0.951,0.8936170212765957,0.9739130434782609
99270,0.951,0.9365671641791045,0.9709864603481625
100270,0.973,0.9459459459459459,0.9803921568627451
101270,0.937,0.8433333333333334,0.9405204460966543
102270,0.941,0.9053497942386831,0.9713024282560706
103270,0.957,0.8493723849372385,0.9666666666666667
104270,0.931,0.7647058823529411,0.9558823529411765
105270,0.939,0.8385964912280702,0.9409448818897638
