samples,acc,prec,rec,fpr,buckets
263270,0.239,0.0,0.0,0.0,2.0
264270,0.331,0.0,0.0,0.0,2.0
265270,0.306,0.0,0.0,0.0,2.0
266270,0.275,0.0,0.0,0.0,2.0
267270,0.2968591691995947,0.0,0.0,0.0,2.0
0,1.0,0.0,0.0,0.0,4.0
10,0.55,0.0,0.0,0.0,4.0
30,0.575,0.0,0.0,0.0,4.0
70,0.575,0.0,0.0,0.0,4.0
150,0.65625,0.0,0.0,0.0,4.0
310,0.6375,0.0,0.0,0.0,4.0
630,0.6578125,0.0,0.0,0.0,4.0
1270,0.632,0.0,0.0,0.0,4.0
2270,0.652,0.0,0.0,0.0,4.0
3270,0.655,0.0,0.0,0.0,4.0
4270,0.651,0.0,0.0,0.0,4.0
5270,0.652,0.0,0.0,0.0,4.0
6270,0.642,0.0,0.0,0.0,4.0
7270,0.633,0.0,0.0,0.0,4.0
8270,0.654,0.0,0.0,0.0,4.0
9270,0.644,0.0,0.0,0.0,4.0
10270,0.52,0.0,0.0,0.0,4.0
11270,0.348,0.0,0.0,0.0,4.0
12270,0.362,0.0,0.0,0.0,4.0
13270,0.38,0.0,0.0,0.0,4.0
14270,0.368,0.0,0.0,0.0,4.0
15270,0.347,0.0,0.0,0.0,4.0
16270,0.351,0.0,0.0,0.0,4.0
17270,0.362,0.0,0.0,0.0,4.0
18270,0.373,0.0,0.0,0.0,4.0
19270,0.384,0.0,0.0,0.0,4.0
20270,0.361,0.0,0.0,0.0,4.0
21270,0.348,0.0,0.0,0.0,4.0
22270,0.355,0.0,0.0,0.0,4.0
23270,0.389,0.0,0.0,0.0,4.0
24270,0.372,0.0,0.0,0.0,4.0
25270,0.363,0.0,0.0,0.0,4.0
26270,0.346,0.0,0.0,0.0,4.0
27270,0.398,0.0,0.0,0.0,4.0
28270,0.387,0.0,0.0,0.0,4.0
29270,0.359,0.0,0.0,0.0,4.0
30270,0.348,0.0,0.0,0.0,4.0
31270,0.347,0.0,0.0,0.0,4.0
32270,0.369,0.0,0.0,0.0,4.0
33270,0.394,0.0,0.0,0.0,4.0
34270,0.355,0.0,0.0,0.0,4.0
35270,0.38,0.0,0.0,0.0,4.0
36270,0.352,0.0,0.0,0.0,4.0
37270,0.357,0.0,0.0,0.0,4.0
38270,0.358,0.0,0.0,0.0,4.0
39270,0.38,0.0,0.0,0.0,4.0
40270,0.371,0.0,0.0,0.0,4.0
41270,0.369,0.0,0.0,0.0,4.0
42270,0.386,0.0,0.0,0.0,4.0
43270,0.354,0.0,0.0,0.0,4.0
44270,0.375,0.0,0.0,0.0,4.0
45270,0.379,0.0,0.0,0.0,4.0
46270,0.352,0.0,0.0,0.0,4.0
47270,0.36,0.0,0.0,0.0,4.0
48270,0.381,0.0,0.0,0.0,4.0
49270,0.358,0.0,0.0,0.0,4.0
50270,0.376,0.0,0.0,0.0,4.0
51270,0.377,0.0,0.0,0.0,4.0
52270,0.341,0.0,0.0,0.0,4.0
53270,0.383,0.0,0.0,0.0,4.0
54270,0.367,0.0,0.0,0.0,4.0
55270,0.331,0.0,0.0,0.0,4.0
56270,0.376,0.0,0.0,0.0,4.0
57270,0.371,0.0,0.0,0.0,4.0
58270,0.377,0.0,0.0,0.0,4.0
59270,0.351,0.0,0.0,0.0,4.0
60270,0.38,0.0,0.0,0.0,4.0
61270,0.376,0.0,0.0,0.0,4.0
62270,0.305,0.0,0.0,0.0,4.0
63270,0.169,0.0,0.0,0.0,4.0
64270,0.146,0.0,0.0,0.0,4.0
65270,0.178,0.0,0.0,0.0,4.0
66270,0.243,0.0,0.0,0.0,4.0
67270,0.235,0.0,0.0,0.0,4.0
68270,0.197,0.0,0.0,0.0,4.0
69270,0.281,0.0,0.0,0.0,4.0
70270,0.198,0.0,0.0,0.0,4.0
71270,0.203,0.0,0.0,0.0,4.0
72270,0.324,0.0,0.0,0.0,4.0
73270,0.297,0.0,0.0,0.0,4.0
74270,0.317,0.0,0.0,0.0,4.0
75270,0.255,0.0,0.0,0.0,4.0
76270,0.318,0.0,0.0,0.0,4.0
77270,0.393,0.0,0.0,0.0,4.0
78270,0.314,0.0,0.0,0.0,4.0
79270,0.42,0.0,0.0,0.0,4.0
80270,0.444,0.0,0.0,0.0,4.0
81270,0.502,0.0,0.0,0.0,4.0
82270,0.455,0.0,0.0,0.0,4.0
83270,0.569,0.0,0.0,0.0,4.0
84270,0.513,0.0,0.0,0.0,4.0
85270,0.601,0.0,0.0,0.0,4.0
86270,0.603,0.0,0.0,0.0,4.0
87270,0.783,0.0,0.0,0.0,4.0
88270,0.948,0.0,0.0,0.0,4.0
89270,0.857,0.0,0.0,0.0,4.0
90270,0.853,0.0,0.0,0.0,4.0
91270,0.809,0.0,0.0,0.0,4.0
92270,0.858,0.0,0.0,0.0,4.0
93270,0.788,0.0,0.0,0.0,4.0
94270,0.606,0.0,0.0,0.0,4.0
95270,0.84,0.0,0.0,0.0,4.0
96270,0.623,0.0,0.0,0.0,4.0
97270,0.459,0.0,0.0,0.0,4.0
98270,0.655,0.0,0.0,0.0,4.0
99270,0.483,0.0,0.0,0.0,4.0
100270,0.643,0.0,0.0,0.0,4.0
101270,0.731,0.0,0.0,0.0,4.0
102270,0.547,0.0,0.0,0.0,4.0
103270,0.79,0.0,0.0,0.0,4.0
104270,0.796,0.0,0.0,0.0,4.0
105270,0.746,0.0,0.0,0.0,4.0
106270,0.373,0.0,0.0,0.0,4.0
107270,0.851,0.0,0.0,0.0,4.0
108270,0.815,0.0,0.0,0.0,4.0
109270,0.453,0.0,0.0,0.0,4.0
110270,0.541,0.0,0.0,0.0,4.0
111270,0.426,0.0,0.0,0.0,4.0
112270,0.48,0.0,0.0,0.0,4.0
113270,0.495,0.0,0.0,0.0,4.0
114270,0.607,0.0,0.0,0.0,4.0
115270,0.423,0.0,0.0,0.0,4.0
116270,0.609,0.0,0.0,0.0,4.0
117270,0.478,0.0,0.0,0.0,4.0
118270,0.45,0.0,0.0,0.0,4.0
119270,0.652,0.0,0.0,0.0,4.0
120270,0.595,0.0,0.0,0.0,4.0
121270,0.564,0.0,0.0,0.0,4.0
122270,0.696,0.0,0.0,0.0,4.0
123270,0.418,0.0,0.0,0.0,4.0
124270,0.611,0.0,0.0,0.0,4.0
125270,0.416,0.0,0.0,0.0,4.0
126270,0.598,0.0,0.0,0.0,4.0
127270,0.682,0.0,0.0,0.0,4.0
128270,0.582,0.0,0.0,0.0,4.0
129270,0.629,0.0,0.0,0.0,4.0
130270,0.312,0.0,0.0,0.0,4.0
131270,0.269,0.0,0.0,0.0,4.0
132270,0.261,0.0,0.0,0.0,4.0
133270,0.257,0.0,0.0,0.0,4.0
134270,0.372,0.0,0.0,0.0,4.0
135270,0.238,0.0,0.0,0.0,4.0
136270,0.2,0.0,0.0,0.0,4.0
137270,0.277,0.0,0.0,0.0,4.0
138270,0.247,0.0,0.0,0.0,4.0
139270,0.205,0.0,0.0,0.0,4.0
140270,0.066,0.0,0.0,0.0,4.0
141270,0.084,0.0,0.0,0.0,4.0
142270,0.055,0.0,0.0,0.0,4.0
143270,0.075,0.0,0.0,0.0,4.0
144270,0.082,0.0,0.0,0.0,4.0
145270,0.113,0.0,0.0,0.0,4.0
146270,0.083,0.0,0.0,0.0,4.0
147270,0.079,0.0,0.0,0.0,4.0
148270,0.094,0.0,0.0,0.0,4.0
149270,0.047,0.0,0.0,0.0,4.0
150270,0.095,0.0,0.0,0.0,4.0
151270,0.064,0.0,0.0,0.0,4.0
152270,0.086,0.0,0.0,0.0,4.0
153270,0.129,0.0,0.0,0.0,4.0
154270,0.173,0.0,0.0,0.0,4.0
155270,0.483,0.0,0.0,0.0,4.0
156270,0.393,0.0,0.0,0.0,4.0
157270,0.352,0.0,0.0,0.0,4.0
158270,0.36,0.0,0.0,0.0,4.0
159270,0.335,0.0,0.0,0.0,4.0
160270,0.344,0.0,0.0,0.0,4.0
161270,0.342,0.0,0.0,0.0,4.0
162270,0.352,0.0,0.0,0.0,4.0
163270,0.331,0.0,0.0,0.0,4.0
164270,0.337,0.0,0.0,0.0,4.0
165270,0.366,0.0,0.0,0.0,4.0
166270,0.329,0.0,0.0,0.0,4.0
167270,0.368,0.0,0.0,0.0,4.0
168270,0.344,0.0,0.0,0.0,4.0
169270,0.333,0.0,0.0,0.0,4.0
170270,0.356,0.0,0.0,0.0,4.0
171270,0.331,0.0,0.0,0.0,4.0
172270,0.345,0.0,0.0,0.0,4.0
173270,0.341,0.0,0.0,0.0,4.0
174270,0.341,0.0,0.0,0.0,4.0
175270,0.331,0.0,0.0,0.0,4.0
176270,0.342,0.0,0.0,0.0,4.0
177270,0.331,0.0,0.0,0.0,4.0
178270,0.334,0.0,0.0,0.0,4.0
179270,0.239,0.0,0.0,0.0,4.0
180270,0.35,0.0,0.0,0.0,4.0
181270,0.319,0.0,0.0,0.0,4.0
182270,0.329,0.0,0.0,0.0,4.0
183270,0.321,0.0,0.0,0.0,4.0
184270,0.342,0.0,0.0,0.0,4.0
185270,0.384,0.0,0.0,0.0,4.0
186270,0.337,0.0,0.0,0.0,4.0
187270,0.336,0.0,0.0,0.0,4.0
188270,0.341,0.0,0.0,0.0,4.0
189270,0.351,0.0,0.0,0.0,4.0
190270,0.303,0.0,0.0,0.0,4.0
191270,0.299,0.0,0.0,0.0,4.0
192270,0.208,0.0,0.0,0.0,4.0
193270,0.258,0.0,0.0,0.0,4.0
194270,0.292,0.0,0.0,0.0,4.0
195270,0.343,0.0,0.0,0.0,4.0
196270,0.3,0.0,0.0,0.0,4.0
197270,0.24,0.0,0.0,0.0,4.0
198270,0.011,0.0,0.0,0.0,4.0
199270,0.007,0.0,0.0,0.0,4.0
200270,0.137,0.0,0.0,0.0,4.0
201270,0.174,0.0,0.0,0.0,4.0
202270,0.295,0.0,0.0,0.0,4.0
203270,0.294,0.0,0.0,0.0,4.0
204270,0.269,0.0,0.0,0.0,4.0
205270,0.344,0.0,0.0,0.0,4.0
206270,0.339,0.0,0.0,0.0,4.0
207270,0.373,0.0,0.0,0.0,4.0
208270,0.191,0.0,0.0,0.0,4.0
209270,0.235,0.0,0.0,0.0,4.0
210270,0.303,0.0,0.0,0.0,4.0
211270,0.283,0.0,0.0,0.0,4.0
212270,0.289,0.0,0.0,0.0,4.0
213270,0.286,0.0,0.0,0.0,4.0
214270,0.22,0.0,0.0,0.0,4.0
215270,0.326,0.0,0.0,0.0,4.0
216270,0.201,0.0,0.0,0.0,4.0
217270,0.288,0.0,0.0,0.0,4.0
218270,0.388,0.0,0.0,0.0,4.0
219270,0.404,0.0,0.0,0.0,4.0
220270,0.369,0.0,0.0,0.0,4.0
221270,0.362,0.0,0.0,0.0,4.0
222270,0.254,0.0,0.0,0.0,4.0
223270,0.362,0.0,0.0,0.0,4.0
224270,0.396,0.0,0.0,0.0,4.0
225270,0.382,0.0,0.0,0.0,4.0
226270,0.399,0.0,0.0,0.0,4.0
227270,0.234,0.0,0.0,0.0,4.0
228270,0.456,0.0,0.0,0.0,4.0
229270,0.491,0.0,0.0,0.0,4.0
230270,0.46,0.0,0.0,0.0,4.0
231270,0.441,0.0,0.0,0.0,4.0
232270,0.247,0.0,0.0,0.0,4.0
233270,0.441,0.0,0.0,0.0,4.0
234270,0.438,0.0,0.0,0.0,4.0
235270,0.462,0.0,0.0,0.0,4.0
236270,0.356,0.0,0.0,0.0,4.0
237270,0.303,0.0,0.0,0.0,4.0
238270,0.427,0.0,0.0,0.0,4.0
239270,0.358,0.0,0.0,0.0,4.0
240270,0.422,0.0,0.0,0.0,4.0
241270,0.429,0.0,0.0,0.0,4.0
242270,0.354,0.0,0.0,0.0,4.0
243270,0.483,0.0,0.0,0.0,4.0
244270,0.458,0.0,0.0,0.0,4.0
245270,0.409,0.0,0.0,0.0,4.0
246270,0.496,0.0,0.0,0.0,4.0
247270,0.342,0.0,0.0,0.0,4.0
248270,0.491,0.0,0.0,0.0,4.0
249270,0.514,0.0,0.0,0.0,4.0
250270,0.444,0.0,0.0,0.0,4.0
251270,0.384,0.0,0.0,0.0,4.0
252270,0.422,0.0,0.0,0.0,4.0
253270,0.416,0.0,0.0,0.0,4.0
254270,0.389,0.0,0.0,0.0,4.0
255270,0.452,0.0,0.0,0.0,4.0
256270,0.275,0.0,0.0,0.0,4.0
257270,0.31,0.0,0.0,0.0,4.0
258270,0.378,0.0,0.0,0.0,4.0
259270,0.265,0.0,0.0,0.0,4.0
260270,0.281,0.0,0.0,0.0,4.0
261270,0.309,0.0,0.0,0.0,4.0
262270,0.255,0.0,0.0,0.0,4.0
263270,0.239,0.0,0.0,0.0,4.0
264270,0.331,0.0,0.0,0.0,4.0
265270,0.306,0.0,0.0,0.0,4.0
266270,0.275,0.0,0.0,0.0,4.0
267270,0.2968591691995947,0.0,0.0,0.0,4.0
0,1.0,0.0,0.0,0.0,6.0
10,0.55,0.0,0.0,0.0,6.0
30,0.575,0.0,0.0,0.0,6.0
70,0.575,0.0,0.0,0.0,6.0
150,0.65625,0.0,0.0,0.0,6.0
310,0.6375,0.0,0.0,0.0,6.0
630,0.6578125,0.0,0.0,0.0,6.0
1270,0.632,0.0,0.0,0.0,6.0
2270,0.652,0.0,0.0,0.0,6.0
3270,0.655,0.0,0.0,0.0,6.0
4270,0.651,0.0,0.0,0.0,6.0
5270,0.652,0.0,0.0,0.0,6.0
6270,0.642,0.0,0.0,0.0,6.0
7270,0.633,0.0,0.0,0.0,6.0
8270,0.654,0.0,0.0,0.0,6.0
9270,0.644,0.0,0.0,0.0,6.0
10270,0.52,0.0,0.0,0.0,6.0
11270,0.348,0.0,0.0,0.0,6.0
12270,0.362,0.0,0.0,0.0,6.0
13270,0.38,0.0,0.0,0.0,6.0
14270,0.368,0.0,0.0,0.0,6.0
15270,0.347,0.0,0.0,0.0,6.0
16270,0.351,0.0,0.0,0.0,6.0
17270,0.362,0.0,0.0,0.0,6.0
18270,0.373,0.0,0.0,0.0,6.0
19270,0.384,0.0,0.0,0.0,6.0
20270,0.361,0.0,0.0,0.0,6.0
21270,0.348,0.0,0.0,0.0,6.0
22270,0.355,0.0,0.0,0.0,6.0
23270,0.389,0.0,0.0,0.0,6.0
24270,0.372,0.0,0.0,0.0,6.0
25270,0.363,0.0,0.0,0.0,6.0
26270,0.346,0.0,0.0,0.0,6.0
27270,0.398,0.0,0.0,0.0,6.0
28270,0.387,0.0,0.0,0.0,6.0
29270,0.359,0.0,0.0,0.0,6.0
30270,0.348,0.0,0.0,0.0,6.0
31270,0.347,0.0,0.0,0.0,6.0
32270,0.369,0.0,0.0,0.0,6.0
33270,0.394,0.0,0.0,0.0,6.0
34270,0.355,0.0,0.0,0.0,6.0
35270,0.38,0.0,0.0,0.0,6.0
36270,0.352,0.0,0.0,0.0,6.0
