samples,acc,prec,rec,fpr
101270,0.927,0.8858267716535433,0.8364312267657993,0.03967168262653899
102270,0.924,0.8935281837160751,0.9448123620309051,0.09323583180987204
103270,0.952,0.9132653061224489,0.8523809523809524,0.021518987341772152
104270,0.873,0.7421383647798742,0.5784313725490197,0.05150753768844221
105270,0.91,0.7949640287769785,0.8700787401574803,0.07640750670241286
106270,0.896,0.9066874027993779,0.9298245614035088,0.16085790884718498
107270,0.929,0.8545454545454545,0.6308724832214765,0.01880141010575793
108270,0.899,0.648936170212766,0.9891891891891892,0.12147239263803682
109270,0.858,0.9655172413793104,0.7678244972577697,0.033112582781456956
110270,0.915,0.865234375,0.9651416122004357,0.12754158964879853
111270,0.883,0.9770354906054279,0.8153310104529616,0.025821596244131457
112270,0.916,0.894927536231884,0.95,0.12083333333333333
113270,0.931,0.9176245210727969,0.9485148514851485,0.08686868686868687
114270,0.927,0.8603603603603603,0.9720101781170484,0.10214168039538715
115270,0.872,0.9726315789473684,0.8006932409012132,0.030732860520094562
116270,0.923,0.8504464285714286,0.9744245524296675,0.11001642036124795
117270,0.938,0.9212454212454212,0.9636015325670498,0.0899581589958159
118270,0.893,0.974304068522484,0.8272727272727273,0.02666666666666667
119270,0.913,0.8159806295399515,0.9683908045977011,0.1165644171779141
120270,0.94,0.9805013927576601,0.8691358024691358,0.011764705882352941
121270,0.939,0.9120879120879121,0.9518348623853211,0.07092198581560284
122270,0.917,0.9201520912547528,0.7960526315789473,0.03017241379310345
123270,0.935,0.932998324958124,0.9570446735395189,0.09569377990430622
124270,0.939,0.8813953488372093,0.974293059125964,0.08346972176759411
125270,0.955,0.9686956521739131,0.9537671232876712,0.04326923076923077
126270,0.94,0.9052132701421801,0.9502487562189055,0.06688963210702341
127270,0.949,0.8781869688385269,0.9748427672955975,0.06304985337243402
128270,0.929,0.967654986522911,0.8588516746411483,0.020618556701030927
129270,0.943,0.9109947643979057,0.9380053908355795,0.05405405405405406
130270,0.934,0.9343575418994413,0.9723837209302325,0.15064102564102563
131270,0.939,0.9539295392953929,0.9630642954856361,0.12639405204460966
132270,0.913,0.9222797927461139,0.9634641407307172,0.22988505747126436
133270,0.928,0.9602194787379973,0.9421265141318977,0.11284046692607004
134270,0.927,0.9249617151607963,0.9617834394904459,0.13172043010752688
135270,0.947,0.9481668773704172,0.984251968503937,0.1722689075630252
136270,0.832,0.9688427299703264,0.81625,0.105
137270,0.954,0.9618008185538881,0.975103734439834,0.10108303249097472
138270,0.951,0.9559585492227979,0.9800796812749004,0.13765182186234817
139270,0.876,0.9912152269399708,0.8515723270440252,0.02926829268292683
