samples,acc,prec,rec,fpr,hashf
52270,0.837,0.9335664335664335,0.8103186646433991,0.11143695014662756,3.0
53270,0.85,0.9018932874354562,0.8492706645056726,0.14882506527415143,3.0
54270,0.832,0.8696343402225755,0.8641390205371248,0.22343324250681199,3.0
55270,0.849,0.8710601719197708,0.9088191330343797,0.2719033232628399,3.0
56270,0.842,0.851963746223565,0.9038461538461539,0.26063829787234044,3.0
57270,0.855,0.8527696793002916,0.9300476947535771,0.2722371967654987,3.0
58270,0.848,0.8552036199095022,0.9101123595505618,0.2546419098143236,3.0
59270,0.693,0.9296482412060302,0.5701078582434514,0.07977207977207977,3.0
60270,0.817,0.8013793103448276,0.9370967741935484,0.37894736842105264,3.0
61270,0.849,0.8748019017432647,0.8846153846153846,0.21010638297872342,3.0
62270,0.837,0.8472584856396866,0.9338129496402877,0.3836065573770492,3.0
63270,0.871,0.9280487804878049,0.9157641395908543,0.34911242603550297,3.0
64270,0.904,0.9448356807511737,0.9426229508196722,0.3219178082191781,3.0
65270,0.895,0.9242603550295858,0.9501216545012166,0.3595505617977528,3.0
66270,0.885,0.9234828496042217,0.9247027741083224,0.23868312757201646,3.0
67270,0.837,0.9251412429378532,0.8562091503267973,0.225531914893617,3.0
68270,0.879,0.9383033419023136,0.9090909090909091,0.2436548223350254,3.0
69270,0.849,0.8541147132169576,0.952712100139082,0.41637010676156583,3.0
