samples,acc,prec,rec,fpr
137270,0.934,0.955617198335645,0.9529737206085753,0.11552346570397112
138270,0.939,0.9552631578947368,0.9641434262948207,0.13765182186234817
139270,0.96,0.9808917197452229,0.9685534591194969,0.07317073170731707
140270,0.968,0.9966960352422908,0.9689507494646681,0.045454545454545456
141270,0.975,0.9900990099009901,0.982532751091703,0.10714285714285714
142270,0.969,0.990343347639485,0.9767195767195768,0.16363636363636364
143270,0.967,0.9714587737843552,0.9935135135135135,0.36
144270,0.975,0.985854189336235,0.9869281045751634,0.15853658536585366
145270,0.962,0.984036488027366,0.9729425028184893,0.12389380530973451
146270,0.973,0.989010989010989,0.9814612868047983,0.12048192771084337
